EmployeeNumber,Attrition,Age,DailyRate,DistanceFromHome,HourlyRate,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,Education_2,Education_3,Education_4,Education_5,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,EnvironmentSatisfaction_2,EnvironmentSatisfaction_3,EnvironmentSatisfaction_4,Gender_Male,JobInvolvement_2,JobInvolvement_3,JobInvolvement_4,JobLevel_2,JobLevel_3,JobLevel_4,JobLevel_5,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
442,0,42,1474,5,97,3,2093,9260,4,1,0,17,3,4,80,1,8,4,3,2,2,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
443,0,36,635,10,32,4,9980,15318,1,1,0,14,3,4,80,0,10,3,2,10,3,9,7,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
444,1,22,1368,4,99,3,3894,9129,5,1,0,16,3,3,80,0,4,3,3,2,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
445,0,48,163,2,37,4,4051,19658,2,1,0,14,3,1,80,1,14,2,3,9,7,6,7,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
446,0,55,1117,18,83,2,16835,9873,3,1,0,23,4,4,80,0,37,2,3,10,9,7,7,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
447,0,41,267,10,56,4,6230,13430,7,1,0,14,3,4,80,0,16,3,3,14,3,1,10,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
448,0,35,619,1,85,3,4717,18659,9,1,0,11,3,3,80,0,15,2,3,11,9,6,9,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
449,0,40,302,6,75,3,13237,20364,7,1,0,15,3,3,80,0,22,3,3,20,6,5,13,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
450,0,39,443,8,48,3,3755,17872,1,1,0,11,3,1,80,1,8,3,3,8,3,0,7,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
451,0,31,828,2,77,4,6582,8346,4,1,1,13,3,3,80,0,10,2,4,6,5,0,5,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
452,0,42,319,24,56,1,7406,6950,1,1,1,21,4,4,80,1,10,5,2,10,9,5,8,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
453,0,45,561,2,61,2,4805,16177,0,1,0,19,3,2,80,1,9,3,4,8,7,3,7,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
454,1,26,426,17,58,3,2741,22808,0,1,1,11,3,2,80,1,8,2,2,7,7,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
455,0,29,232,19,34,4,4262,22645,4,1,0,12,3,2,80,2,8,2,4,3,2,1,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
456,0,33,922,1,95,3,16184,22578,4,1,0,19,3,3,80,1,10,2,3,6,1,0,5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
457,0,31,688,7,44,4,11557,25291,9,1,0,21,4,3,80,1,10,3,2,5,4,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
458,1,18,1306,5,69,2,1878,8059,1,1,1,14,3,4,80,0,0,3,3,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
459,0,40,1094,28,58,1,10932,11373,3,1,0,15,3,3,80,1,20,2,3,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
460,0,41,509,2,62,3,6811,2112,2,1,1,17,3,1,80,0,10,3,3,8,7,0,7,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
461,0,26,775,29,45,3,4306,4267,5,1,0,12,3,1,80,2,8,5,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
462,0,35,195,1,80,3,4859,6698,1,1,0,16,3,4,80,0,5,3,3,5,4,0,3,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
463,0,34,258,21,74,4,5337,19921,1,1,0,12,3,4,80,0,10,3,3,10,7,5,7,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
464,1,26,471,24,66,4,2340,23213,1,1,1,18,3,2,80,0,1,3,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
465,0,37,799,1,59,4,7491,23848,4,1,0,17,3,4,80,0,12,3,4,6,5,1,2,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
466,0,46,1034,18,86,3,10527,8984,5,1,0,11,3,4,80,0,28,3,2,2,2,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
467,0,41,1276,2,91,1,16595,5626,7,1,0,16,3,2,80,1,22,2,3,18,16,11,8,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
468,0,37,142,9,69,2,8834,24666,1,1,0,13,3,4,80,1,9,6,3,9,5,7,7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
469,0,52,956,6,78,1,5577,22087,3,1,1,12,3,2,80,2,18,3,3,10,9,6,9,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
470,1,32,1474,11,60,3,4707,23914,8,1,0,12,3,4,80,0,6,2,3,4,2,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
471,0,24,535,24,38,4,2400,5530,0,1,0,13,3,3,80,2,3,3,3,2,2,2,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
472,0,38,1495,10,76,3,9824,22174,3,1,0,19,3,3,80,1,18,4,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
473,0,37,446,1,65,2,6447,15701,6,1,0,12,3,2,80,1,8,2,2,6,5,4,3,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
474,0,49,1245,18,58,3,19502,2125,1,1,1,17,3,3,80,1,31,5,3,31,9,0,9,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
475,0,24,691,23,89,4,2725,21630,1,1,1,11,3,2,80,2,6,3,3,6,5,1,4,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
476,0,26,703,28,66,2,6272,7428,1,1,0,20,4,4,80,2,6,5,4,5,3,1,4,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
477,0,24,823,17,94,2,2127,9100,1,1,0,21,4,4,80,1,1,2,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
478,0,50,1246,3,99,2,18200,7999,1,1,0,11,3,3,80,1,32,2,3,32,5,10,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
479,0,25,622,13,40,3,2096,26376,1,1,0,11,3,3,80,0,7,1,3,7,4,0,6,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
480,1,24,1287,7,55,3,2886,14168,1,1,1,16,3,4,80,1,6,4,3,6,3,1,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
481,1,30,448,12,74,1,2033,14470,1,1,0,18,3,3,80,1,1,2,4,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
482,0,34,254,1,83,4,3622,22794,1,1,1,13,3,4,80,1,6,3,3,6,5,1,3,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
483,1,31,1365,13,46,1,4233,11512,2,1,0,17,3,3,80,0,9,2,1,3,1,1,2,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
484,0,35,538,25,54,4,3681,14004,4,1,0,14,3,4,80,0,9,3,3,3,2,0,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
485,0,31,525,6,66,4,5460,6219,4,1,0,22,4,4,80,2,13,4,4,7,7,5,7,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
486,0,27,798,6,66,3,2187,5013,0,1,0,12,3,3,80,2,6,5,2,5,3,0,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
487,0,37,558,2,75,3,9602,3010,4,1,1,11,3,3,80,1,17,3,2,3,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
488,0,20,959,1,83,2,2836,11757,1,1,0,13,3,4,80,0,1,0,4,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
489,0,42,622,2,81,4,4089,5718,1,1,0,13,3,2,80,2,10,4,3,10,2,2,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
490,0,43,782,6,50,4,16627,2671,4,1,1,14,3,3,80,1,21,3,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
491,0,38,362,1,43,1,2619,14561,3,1,0,17,3,4,80,0,8,3,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
492,0,43,1001,9,72,3,5679,19627,3,1,1,13,3,2,80,1,10,3,3,8,7,4,7,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
493,0,48,1236,1,40,1,15402,17997,7,1,0,11,3,1,80,1,21,3,1,3,2,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
494,0,44,1112,1,50,3,5985,26894,4,1,0,11,3,2,80,0,10,1,4,2,2,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
495,0,34,204,14,31,3,2579,2912,1,1,1,18,3,4,80,2,8,3,3,8,2,0,6,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
496,1,27,1420,2,85,1,3041,16346,0,1,0,11,3,2,80,1,5,3,3,4,3,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
497,0,21,1343,22,49,3,3447,24444,1,1,0,11,3,3,80,0,3,2,3,3,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
498,0,44,1315,3,35,4,19513,9358,4,1,1,12,3,1,80,1,26,2,4,2,2,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
499,0,22,604,6,69,3,2773,12145,0,1,0,20,4,4,80,0,3,3,3,2,2,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
500,0,33,1216,8,39,3,7104,20431,0,1,0,12,3,4,80,0,6,3,3,5,0,1,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
501,0,32,646,9,92,4,6322,18089,1,1,1,12,3,4,80,1,6,2,2,6,4,0,5,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
502,0,30,160,3,71,3,2083,22653,1,1,0,20,4,3,80,1,1,2,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
503,0,53,238,1,34,1,8381,7507,7,1,0,20,4,4,80,0,18,2,4,14,7,8,10,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
504,0,34,1397,1,42,4,2691,7660,1,1,0,12,3,4,80,1,10,4,2,10,9,8,8,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
505,1,45,306,26,100,1,4286,5630,2,1,0,14,3,4,80,2,5,4,3,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
506,0,26,991,6,71,4,2659,17759,1,1,1,13,3,3,80,1,3,2,3,3,2,0,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
507,0,37,482,3,36,3,9434,9606,1,1,0,15,3,3,80,1,10,2,3,10,7,7,8,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
508,0,29,1176,3,62,3,5561,3487,1,1,0,14,3,1,80,1,6,5,2,6,0,1,2,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
509,0,35,1017,6,82,4,6646,19368,1,1,0,13,3,2,80,0,17,3,3,17,11,11,8,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
510,0,33,1296,6,30,4,7725,5335,3,1,0,23,4,3,80,1,15,2,1,13,11,4,7,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
511,0,54,397,19,88,2,10725,6729,2,1,0,15,3,3,80,1,16,1,4,9,7,7,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
512,0,36,913,9,48,2,8847,13934,2,1,1,11,3,3,80,1,13,2,3,3,2,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
513,0,27,1115,3,54,4,2045,15174,0,1,0,13,3,4,80,0,5,0,3,4,2,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
514,1,20,1362,10,32,3,1009,26999,1,1,1,11,3,4,80,0,1,5,3,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
515,1,33,1076,3,70,1,3348,3164,1,1,1,11,3,1,80,0,10,3,3,10,8,9,7,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
516,0,35,727,3,41,3,1281,16900,1,1,0,18,3,3,80,2,1,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
517,0,23,885,4,58,1,2819,8544,2,1,0,16,3,1,80,1,5,3,4,3,2,0,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
518,0,25,810,8,57,2,4851,15678,0,1,0,22,4,3,80,1,4,4,3,3,2,1,2,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
519,0,38,243,7,46,4,4028,7791,0,1,0,20,4,1,80,0,8,2,3,7,7,0,5,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
520,0,29,806,1,76,4,2720,18959,1,1,0,18,3,4,80,1,10,5,3,10,7,2,8,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
521,0,48,817,2,56,2,8120,18597,3,1,0,12,3,4,80,0,12,3,3,2,2,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
522,0,27,1410,3,71,4,4647,16673,1,1,1,20,4,2,80,2,6,3,3,6,5,0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
523,0,37,1225,10,80,4,4680,15232,3,1,0,17,3,1,80,0,4,2,3,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
524,0,50,1207,28,74,3,3221,3297,1,1,1,11,3,3,80,3,20,3,3,20,8,3,8,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
525,0,34,1442,9,46,2,8621,17654,1,1,0,14,3,2,80,0,9,3,4,8,7,7,7,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
526,1,24,693,3,65,3,4577,24785,9,1,0,14,3,1,80,0,4,3,3,2,2,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
527,0,39,408,2,80,3,4553,20978,1,1,0,11,3,1,80,0,20,4,3,20,7,11,10,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
528,0,32,929,10,55,4,5396,21703,1,1,0,12,3,4,80,0,10,2,2,10,7,0,8,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
529,1,50,562,8,50,3,6796,23452,3,1,1,14,3,1,80,1,18,4,3,4,3,1,3,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
530,0,38,827,1,33,4,7625,19383,0,1,0,13,3,3,80,0,10,4,2,9,7,1,8,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
531,0,27,608,1,68,1,7412,6009,1,1,0,11,3,4,80,0,9,3,3,9,7,0,7,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
532,0,32,1018,3,39,4,11159,19373,3,1,0,15,3,4,80,0,10,6,3,7,7,7,7,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
533,0,47,703,14,42,1,4960,11825,2,1,0,12,3,4,80,0,20,2,3,7,7,1,7,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
534,0,40,580,5,48,1,10475,23772,5,1,1,21,4,3,80,1,20,2,3,18,13,1,12,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
535,0,53,970,7,59,3,14814,13514,3,1,0,19,3,3,80,0,32,3,3,5,1,1,3,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
536,0,41,427,10,73,4,19141,8861,3,1,0,15,3,2,80,3,23,2,2,21,6,12,6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
537,0,60,1179,16,84,1,5405,11924,8,1,0,14,3,4,80,0,10,1,3,2,2,2,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
538,0,27,294,10,32,1,8793,4809,1,1,0,21,4,3,80,2,9,4,2,9,7,1,7,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
539,0,41,314,1,59,3,19189,19562,1,1,0,12,3,2,80,1,22,3,3,22,7,2,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
540,0,50,316,8,54,2,3875,9983,7,1,0,15,3,4,80,1,4,2,3,2,2,2,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
541,1,28,654,1,67,2,2216,3872,7,1,1,13,3,4,80,0,10,4,3,7,7,3,7,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
542,0,36,427,8,63,1,11713,20335,9,1,0,14,3,1,80,1,10,2,3,8,7,0,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
543,0,38,168,1,81,3,7861,15397,4,1,1,14,3,4,80,0,10,4,4,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
544,0,44,381,24,49,3,3708,2104,2,1,0,14,3,3,80,0,9,5,3,5,2,1,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
545,0,47,217,3,49,3,13770,10225,9,1,1,12,3,4,80,2,28,2,2,22,2,11,13,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
546,0,30,501,27,99,4,5304,25275,7,1,0,23,4,4,80,1,10,2,2,8,7,7,7,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
547,0,29,1396,10,99,3,2642,2755,1,1,0,11,3,3,80,0,1,6,3,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
548,1,42,933,19,57,3,2759,20366,6,1,1,12,3,4,80,0,7,2,3,2,2,2,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
549,0,43,775,15,47,4,6804,23683,3,1,0,18,3,3,80,1,7,5,3,2,2,2,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
550,0,34,970,8,96,3,6142,7360,3,1,0,11,3,4,80,0,10,2,3,5,1,4,3,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
551,0,23,650,9,37,1,2500,4344,1,1,0,14,3,4,80,1,5,2,4,4,3,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
552,0,39,141,3,44,2,6389,18767,9,1,0,15,3,3,80,1,12,3,1,8,3,3,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
553,0,56,832,9,81,4,11103,20420,7,1,0,11,3,3,80,0,30,1,2,10,7,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
554,0,40,804,2,86,4,2342,22929,0,1,1,20,4,4,80,0,5,2,2,4,2,2,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
